title,price_gbp,price_bucket,rating_stars,in_stock,value_score
Book Title 1,22.27,mid-range,3.0,True,0.135
Book Title 2,26.09,mid-range,5.0,True,0.192
Book Title 3,38.86,premium,4.0,False,0.103
Book Title 4,29.8,mid-range,4.0,True,0.134
Book Title 5,5.85,budget,2.0,True,0.342
Book Title 6,94.62,premium,2.0,True,0.021
Book Title 7,10.03,budget,1.0,True,0.1
Book Title 8,35.11,premium,5.0,True,0.142
Book Title 9,96.61,premium,4.0,True,0.041
Book Title 10,25.31,mid-range,4.0,True,0.158
Book Title 11,17.03,mid-range,1.0,True,0.059
Book Title 12,131.12,premium,5.0,True,0.038
Book Title 13,22.8,mid-range,5.0,True,0.219
Book Title 14,15.99,mid-range,2.0,True,0.125
Book Title 15,15.15,mid-range,2.0,False,0.132
Book Title 16,14.08,budget,2.0,True,0.142
Book Title 17,32.59,mid-range,3.0,True,0.092
Book Title 18,24.43,mid-range,3.0,True,0.123
Book Title 19,14.43,budget,3.0,True,0.208
Book Title 20,27.51,mid-range,3.0,True,0.109
Book Title 21,38.73,premium,4.0,True,0.103
Book Title 22,24.19,mid-range,2.0,True,0.083
Book Title 23,12.88,budget,3.0,True,0.233
Book Title 24,19.09,mid-range,3.0,True,0.157
Book Title 25,29.6,mid-range,3.0,True,0.101
Book Title 26,21.75,mid-range,4.0,True,0.184
Book Title 27,20.66,mid-range,2.0,True,0.097
Book Title 28,26.65,mid-range,3.0,True,0.113
Book Title 29,20.44,mid-range,4.0,True,0.196
Book Title 30,13.64,budget,1.0,True,0.073
Book Title 31,6.55,budget,4.0,True,0.611
Book Title 32,11.85,budget,2.0,True,0.169
Book Title 33,12.48,budget,1.0,True,0.08
Book Title 34,22.51,mid-range,5.0,True,0.222
Book Title 35,39.79,premium,5.0,True,0.126
Book Title 36,17.42,mid-range,4.0,True,0.23
Book Title 37,19.36,mid-range,3.0,True,0.155
Book Title 38,18.78,mid-range,2.0,True,0.106
Book Title 39,34.65,mid-range,4.0,True,0.115
Book Title 40,13.38,budget,3.0,False,0.224
Book Title 41,24.98,mid-range,2.0,True,0.08
Book Title 42,22.06,mid-range,3.0,True,0.136
Book Title 43,8.11,budget,1.0,True,0.123
Book Title 44,32.77,mid-range,5.0,True,0.153
Book Title 45,23.19,mid-range,3.0,True,0.129
Book Title 46,22.4,mid-range,4.0,True,0.179
Book Title 47,22.42,mid-range,3.0,False,0.134
Book Title 48,19.69,mid-range,3.0,True,0.152
Book Title 49,26.68,mid-range,4.0,True,0.15
Book Title 50,21.97,mid-range,2.0,False,0.091
Book Title 51,39.52,premium,5.0,True,0.127
Book Title 52,18.57,mid-range,4.0,False,0.215
Book Title 53,42.8,premium,5.0,True,0.117
Book Title 54,18.29,mid-range,5.0,True,0.273
Book Title 55,25.09,mid-range,4.0,True,0.159
Book Title 56,33.53,mid-range,5.0,True,0.149
Book Title 57,19.69,mid-range,2.0,True,0.102
Book Title 58,14.26,budget,2.0,True,0.14
Book Title 59,12.75,budget,1.0,True,0.078
Book Title 60,19.04,mid-range,3.0,False,0.158
Book Title 61,18.46,mid-range,3.0,True,0.163
Book Title 62,27.1,mid-range,3.0,True,0.111
Book Title 63,28.14,mid-range,4.0,True,0.142
Book Title 64,17.84,mid-range,3.0,True,0.168
Book Title 65,27.4,mid-range,3.0,True,0.109
Book Title 66,27.84,mid-range,4.0,True,0.144
Book Title 67,22.88,mid-range,2.0,True,0.087
Book Title 68,29.78,mid-range,,True,0.134
Book Title 69,9.03,budget,1.0,True,0.111
Book Title 70,26.64,mid-range,5.0,True,0.188
Book Title 71,30.48,mid-range,4.0,True,0.131
Book Title 72,21.66,mid-range,2.0,True,0.092
Book Title 73,13.87,budget,1.0,False,0.072
Book Title 74,26.7,mid-range,4.0,True,0.15
Book Title 75,33.67,mid-range,4.0,True,0.119
Book Title 76,22.45,mid-range,4.0,True,0.178
Book Title 77,29.28,mid-range,4.0,True,0.137
Book Title 78,12.79,budget,1.0,False,0.078
Book Title 79,20.69,mid-range,3.0,True,0.145
Book Title 80,24.59,mid-range,2.0,True,0.081
